"Race 7 [9:00PM] – 1800M (Turf) – Purse: $18,000 – Saturday, December 12, 2020.1","Race 7 [9:00PM] – 1800M (Turf) – Purse: $18,000 – Saturday, December 12, 2020.2"
1,ODYSSEY
2,WATCHMESLEWDEM
3,JOUVERT
4,GABRIEL
5,PETER QUILL
6,BRIGHTON STAR
7,ALKORO(Res 03)
8,DARK ANGEL
9,TWINKLED
10,AGAINST HIS WILL
11,TAKE IT EASY
12,WHISPERING ANGEL(Res 01)
13,STEVENSONS THUNDER
14,SPARKLE(Res 02)
15,LADY BIRD
