"Race 8 [9:30PM] – 1570M (Turf) – Purse: $15,000 – Saturday, December 12, 2020.1","Race 8 [9:30PM] – 1570M (Turf) – Purse: $15,000 – Saturday, December 12, 2020.2"
1,VISIONARY
2,NO FLY ZONE
3,KINGOFTHEVALLEY
4,GUEST AGAIN
5,BLACK ROCK
6,DONT DOUBT DORIS
7,LITTLE BUT LUCKY
8,FIRE CRACKER
9,BIRD CAGE
