"Race 6 [8:30PM] – 1100M (Turf) – Purse: $31,000 – Saturday, December 12, 2020.1","Race 6 [8:30PM] – 1100M (Turf) – Purse: $31,000 – Saturday, December 12, 2020.2"
PP,Horse
1,KARIBA STAR(USA)
2,STEALIN
3,MASARU(GB)
4,TRINI AVIATOR(USA)
5,ZAGAN(USA)
6,JOSHUA
7,SIR JIMMY(USA)
8,RADIAL FLYER(USA)
9,GANDALF
10,ISLAND COTTON(USA)
11,STOLEN
12,DEBONAIRE DAVID(GB)
