"Race 4 [7:30PM] – 1100M (Turf) – Purse: $18,000 – Saturday, December 12, 2020.1","Race 4 [7:30PM] – 1100M (Turf) – Purse: $18,000 – Saturday, December 12, 2020.2"
PP,Horse
1,TIME AFTER TIME
2,DOMINUS
3,FASTCASH
4,PREACHER BOY
5,STORM FORCE
6,TOOTIGHTTOTALK
7,CONFLICTOFINTEREST
8,LOLLIPOP(JAM)
9,ABIGAIL
10,MR. U S
11,ULTIMATE
12,RUTH
13,RIGHTONTIME(Res 01)
