"Race 1 [6:00PM] – 1100M (Turf) – Purse: $18,000 – Saturday, December 12, 2020.1","Race 1 [6:00PM] – 1100M (Turf) – Purse: $18,000 – Saturday, December 12, 2020.2"
1,DE CONKIE MAN
2,ROCKIN ROBIN
3,MAKEDA(Res 01)
4,PETTICOAT
5,SARAH(T&T)
6,THUNDER LADY
7,RACHEL(Res 02)
8,ONEBILLIONUS
9,JONAH
10,ANASTASIA
11,PEOPLE’S CHAMP
12,CABALLITO(Res 05)
13,MIRIAM(Res 03)
14,UNGRATEFUL
15,DREAM SOCIETY
16,DE SPOILED CHILD(Res 04)
17,NO BOSS NO
