"Race 9 [10:00PM] – 1100M (Turf) – Purse: $18,000 – Saturday, December 12, 2020.1","Race 9 [10:00PM] – 1100M (Turf) – Purse: $18,000 – Saturday, December 12, 2020.2"
PP,Horse
1,LEADING STAR
2,PERUVIAN
3,GOLDEN TOUCH
4,PREMONITION
5,MISCHIEF MAKER
6,SEBASTIAN
7,FANTASTIC FRANCES
8,TROJAN
9,EDELWEISS(T&T)
10,QUALITY STAR
11,WHATYOUTHINK
12,PRAY FOR ME
