"Race 5 [8:00PM] – 1100M (Turf) – Purse: $23,000 – Saturday, December 12, 2020.1","Race 5 [8:00PM] – 1100M (Turf) – Purse: $23,000 – Saturday, December 12, 2020.2"
1,AMANTE
2,ABSOLUT STAR
3,CRITERION
4,RACHEL
5,DEALWIDIT
6,MAKEDA
7,GAYZEE
8,QUEEN JUSTINA
