"Race 2 [6:30PM] – 1800M (Turf) – Purse: $15,000 – Saturday, December 12, 2020.1","Race 2 [6:30PM] – 1800M (Turf) – Purse: $15,000 – Saturday, December 12, 2020.2"
PP,Horse
1,AMEASH(Res 06)
2,PRETTY PRINCESS(Res 07)
3,GOLD STAR
4,ST. DAVIDS
5,OPRAH
6,SATIVA
7,TIGERS NEST
8,FILMORES(Res 04)
9,AERODYNAMIC
10,OBEROI(Res 02)
11,SILVER BULLET
12,RIDDICK
13,SAN PEDRO(Res 05)
14,BONITA BAY
15,HOWULIKEDISNAME
16,PROVENCE(Res 03)
17,ZENSATIONAL(Res 01)
18,SECRET MISSION
19,SCARFACE(Res 08)
20,AAZAM
